epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,392.569,1.52233,3.67705,2.98393,1.56725,0.00419,0.89313,0.13755,0.05527,0.00351,0.74809,0.09335,0.03296,1.89248,4.20478,3.76253,2.03277,0.0004,0.0004,0.0004
2,702.289,1.56586,2.97178,2.4997,1.55764,0.13558,0.08397,0.05175,0.01992,0.06046,0.03817,0.02655,0.00661,2.00663,5.30354,4.0839,2.58339,0.000819188,0.000819188,0.000819188
3,1000.53,1.63164,3.21103,2.49787,1.65651,0.34683,0.19084,0.19322,0.08824,0.0935,0.06107,0.02099,0.00541,2.00378,9.39945,3.6834,2.64985,0.00123754,0.00123754,0.00123754
4,1299.06,1.69615,3.17729,2.42226,1.71597,0.0387,0.03053,0.00522,0.00184,0.03084,0.00763,0.00115,0.00037,3.61167,40.3336,6.08058,5.51795,0.00165507,0.00165507,0.00165507
5,1595.6,1.74475,3.0004,2.35311,1.75024,0.1713,0.22901,0.12122,0.04589,0.17368,0.22137,0.09308,0.04327,2.26389,9.48848,6.56151,3.50537,0.00199208,0.00199208,0.00199208
6,1899.57,1.73074,3.12175,2.30468,1.72805,0.0382,0.1374,0.01868,0.00471,0.0238,0.12977,0.01048,0.00277,2.66754,14.8132,5.0047,3.69693,0.0019901,0.0019901,0.0019901
7,2199.11,1.7214,3.1124,2.17799,1.68759,0.15482,0.21374,0.08167,0.02762,0.16208,0.22137,0.08937,0.03006,2.26592,5.35143,9.30026,3.38581,0.00198812,0.00198812,0.00198812
8,2504.85,1.6951,2.9317,2.13723,1.72432,0.1441,0.0916,0.05505,0.01958,0.13204,0.12214,0.07592,0.02812,2.47261,6.58134,12.0098,3.71055,0.00198614,0.00198614,0.00198614
9,2807.8,1.68025,2.9542,2.03376,1.68777,0.37774,0.28244,0.23788,0.08112,0.30318,0.24579,0.16577,0.06382,2.49171,9.15733,5.53619,2.95516,0.00198416,0.00198416,0.00198416
10,3103.35,1.62479,2.93241,2.01815,1.65529,0.21155,0.17557,0.11404,0.04094,0.22994,0.19084,0.11772,0.04194,2.56256,6.18058,3.31926,3.01344,0.00198218,0.00198218,0.00198218
11,3396.3,1.71043,2.95023,2.04472,1.67371,0.23854,0.2224,0.14234,0.05216,0.25982,0.23664,0.1501,0.05581,2.46211,20.1445,3.08352,2.90034,0.0019802,0.0019802,0.0019802
12,3689.96,1.59053,2.98299,1.94929,1.63284,0.34736,0.42748,0.34047,0.13806,0.39459,0.38931,0.32511,0.15029,1.9727,4.53097,2.95395,2.25348,0.00197822,0.00197822,0.00197822
